 0.0000E+00 1.0000E+00
 1.0000E+00 2.0000E+00
 2.0000E+00 3.0000E+00
 3.0000E+00 4.0000E+00
 4.0000E+00 5.0000E+00
 5.0000E+00 6.0000E+00
 6.0000E+00 7.0000E+00
 7.0000E+00 8.0000E+00
 8.0000E+00 9.0000E+00
 9.0000E+00 1.0000E+01
 1.0000E+01 1.1000E+01
 1.1000E+01 1.2000E+01
 1.2000E+01 1.3000E+01
 1.3000E+01 1.4000E+01
 1.4000E+01 1.5000E+01
 1.5000E+01 1.6000E+01
 1.6000E+01 1.7000E+01
 1.7000E+01 1.8000E+01
 1.8000E+01 1.9000E+01
 1.9000E+01 2.0000E+01
 2.0000E+01 2.1000E+01
 2.1000E+01 2.2000E+01
 2.2000E+01 2.3000E+01
 2.3000E+01 2.4000E+01
 2.4000E+01 2.5000E+01
 2.5000E+01 2.6000E+01
 2.6000E+01 2.7000E+01
 2.7000E+01 2.8000E+01
 2.8000E+01 2.9000E+01
 2.9000E+01 3.0000E+01
 3.0000E+01 3.1000E+01
 3.1000E+01 3.2000E+01
 3.2000E+01 3.3000E+01
 3.3000E+01 3.4000E+01
 3.4000E+01 3.5000E+01
 3.5000E+01 3.6000E+01
 3.6000E+01 3.7000E+01
 3.7000E+01 3.8000E+01
 3.8000E+01 3.9000E+01
 3.9000E+01 4.0000E+01
 4.0000E+01 4.1000E+01
 4.1000E+01 4.2000E+01
 4.2000E+01 4.3000E+01
 4.3000E+01 4.4000E+01
 4.4000E+01 4.5000E+01
 4.5000E+01 4.6000E+01
 4.6000E+01 4.7000E+01
 4.7000E+01 4.8000E+01
 4.8000E+01 4.9100E+01
 4.9100E+01 5.0310E+01
 5.0310E+01 5.1641E+01
 5.1641E+01 5.3105E+01
 5.3105E+01 5.4716E+01
 5.4716E+01 5.6487E+01
 5.6487E+01 5.8436E+01
 5.8436E+01 6.0580E+01
 6.0580E+01 6.2937E+01
 6.2937E+01 6.5531E+01
 6.5531E+01 6.8384E+01
 6.8384E+01 7.1523E+01
 7.1523E+01 7.4975E+01
 7.4975E+01 7.8772E+01
 7.8772E+01 8.2772E+01
 8.2772E+01 8.6772E+01
 8.6772E+01 9.0772E+01
 9.0772E+01 9.4772E+01
 9.4772E+01 9.8772E+01
 9.8772E+01 1.0277E+02
 1.0277E+02 1.0677E+02
 1.0677E+02 1.1077E+02
 1.1077E+02 1.1477E+02
 1.1477E+02 1.1877E+02
 1.1877E+02 1.2277E+02
 1.2277E+02 1.2677E+02
 1.2677E+02 1.3077E+02
 1.3077E+02 1.3477E+02
 1.3477E+02 1.3877E+02
 1.3877E+02 1.4277E+02
 1.4277E+02 1.4677E+02
 1.4677E+02 1.5077E+02
